village,district,state
Phikar ( Bhakar),Kathua,JAMMU & KASHMIR
Siyalag,Kathua,JAMMU & KASHMIR
Nagaali,Kathua,JAMMU & KASHMIR
Ghoral,Kathua,JAMMU & KASHMIR
Dhar Jhankar,Kathua,JAMMU & KASHMIR
Jandrayali,Kathua,JAMMU & KASHMIR
Dodala,Kathua,JAMMU & KASHMIR
Sandar,Kathua,JAMMU & KASHMIR
Mandla,Kathua,JAMMU & KASHMIR
Rehn,Kathua,JAMMU & KASHMIR
Smahn,Kathua,JAMMU & KASHMIR
Jhankar,Kathua,JAMMU & KASHMIR
Kagrod,Kathua,JAMMU & KASHMIR
Preta,Kathua,JAMMU & KASHMIR
Plakh,Kathua,JAMMU & KASHMIR
Poonda,Kathua,JAMMU & KASHMIR
Kohrdhar,Kathua,JAMMU & KASHMIR
Thana,Kathua,JAMMU & KASHMIR
Dhar Mahanpur,Kathua,JAMMU & KASHMIR
Hadat,Kathua,JAMMU & KASHMIR
Pathi,Kathua,JAMMU & KASHMIR
Kailtri,Kathua,JAMMU & KASHMIR
Nawshehra,Kathua,JAMMU & KASHMIR
Mahan Pora,Kathua,JAMMU & KASHMIR
Salladi,Kathua,JAMMU & KASHMIR
Athyalta,Kathua,JAMMU & KASHMIR
Bera,Kathua,JAMMU & KASHMIR
Athoon,Kathua,JAMMU & KASHMIR
Sobar,Kathua,JAMMU & KASHMIR
Kothi,Kathua,JAMMU & KASHMIR
Plasi,Kathua,JAMMU & KASHMIR
Plahi,Kathua,JAMMU & KASHMIR
Forest Block (Un-inhabited),Kathua,JAMMU & KASHMIR
Bani,Kathua,JAMMU & KASHMIR
Sarthal,Kathua,JAMMU & KASHMIR
Raulka,Kathua,JAMMU & KASHMIR
Daulka,Kathua,JAMMU & KASHMIR
Barmota,Kathua,JAMMU & KASHMIR
Lawang,Kathua,JAMMU & KASHMIR
Dhaggar,Kathua,JAMMU & KASHMIR
Bholri,Kathua,JAMMU & KASHMIR
Dhaman,Kathua,JAMMU & KASHMIR
Begoga,Kathua,JAMMU & KASHMIR
Madhota,Kathua,JAMMU & KASHMIR
Duggan,Kathua,JAMMU & KASHMIR
Kanthal,Kathua,JAMMU & KASHMIR
Chandal,Kathua,JAMMU & KASHMIR
Asooh,Kathua,JAMMU & KASHMIR
Sand Roohn,Kathua,JAMMU & KASHMIR
Kilore,Kathua,JAMMU & KASHMIR
Bhandar,Kathua,JAMMU & KASHMIR
Sandhi,Kathua,JAMMU & KASHMIR
Fatehpur,Kathua,JAMMU & KASHMIR
Satti,Kathua,JAMMU & KASHMIR
Gatti,Kathua,JAMMU & KASHMIR
Bani,Kathua,JAMMU & KASHMIR
Surjan,Kathua,JAMMU & KASHMIR
Bari,Kathua,JAMMU & KASHMIR
Dulangal,Kathua,JAMMU & KASHMIR
Koti,Kathua,JAMMU & KASHMIR
Chalog,Kathua,JAMMU & KASHMIR
Kachir,Kathua,JAMMU & KASHMIR
Banjal,Kathua,JAMMU & KASHMIR
Dharor,Kathua,JAMMU & KASHMIR
Kardoh,Kathua,JAMMU & KASHMIR
Siyara,Kathua,JAMMU & KASHMIR
Chila,Kathua,JAMMU & KASHMIR
Kathua,Kathua,JAMMU & KASHMIR
Bhorthain,Kathua,JAMMU & KASHMIR
Forlain,Kathua,JAMMU & KASHMIR
Rakh Hushiari,Kathua,JAMMU & KASHMIR
Jakhale (Jak Hole),Kathua,JAMMU & KASHMIR
Juthana,Kathua,JAMMU & KASHMIR
Bauhra,Kathua,JAMMU & KASHMIR
Dukhat,Kathua,JAMMU & KASHMIR
Badloli (Badholi),Kathua,JAMMU & KASHMIR
Rasooh,Kathua,JAMMU & KASHMIR
Bijjat,Kathua,JAMMU & KASHMIR
Manjli,Kathua,JAMMU & KASHMIR
Dilwan(Dilwen),Kathua,JAMMU & KASHMIR
Jamal Pur,Kathua,JAMMU & KASHMIR
Bhed Blore,Kathua,JAMMU & KASHMIR
And Rot,Kathua,JAMMU & KASHMIR
Kathera,Kathua,JAMMU & KASHMIR
Fafal,Kathua,JAMMU & KASHMIR
Daral,Kathua,JAMMU & KASHMIR
Kadyar(Kadyer),Kathua,JAMMU & KASHMIR
Kumala,Kathua,JAMMU & KASHMIR
Sherkotla,Kathua,JAMMU & KASHMIR
Sanghan,Kathua,JAMMU & KASHMIR
Narain Pur,Kathua,JAMMU & KASHMIR
Budhi,Kathua,JAMMU & KASHMIR
Bandrahr,Kathua,JAMMU & KASHMIR
Nanan,Kathua,JAMMU & KASHMIR
Kalna,Kathua,JAMMU & KASHMIR
Merth,Kathua,JAMMU & KASHMIR
Nagrota,Kathua,JAMMU & KASHMIR
Rakh Sarkar Budhi (Un-inhabited),Kathua,JAMMU & KASHMIR
Dabwal,Kathua,JAMMU & KASHMIR
Chak Bhagta,Kathua,JAMMU & KASHMIR
Bhakhrial,Kathua,JAMMU & KASHMIR
Mahi Chak,Kathua,JAMMU & KASHMIR
Falote,Kathua,JAMMU & KASHMIR
Sher Tambar,Kathua,JAMMU & KASHMIR
Trihara,Kathua,JAMMU & KASHMIR
Kangriyal,Kathua,JAMMU & KASHMIR
Chhatiyal(Chatiyal),Kathua,JAMMU & KASHMIR
Nihal Pura,Kathua,JAMMU & KASHMIR
Chak Shehzada,Kathua,JAMMU & KASHMIR
Chak Mansabdar,Kathua,JAMMU & KASHMIR
Palli,Kathua,JAMMU & KASHMIR
Thandoon,Kathua,JAMMU & KASHMIR
Kanora,Kathua,JAMMU & KASHMIR
Jandore,Kathua,JAMMU & KASHMIR
Bagial,Kathua,JAMMU & KASHMIR
Barwal,Kathua,JAMMU & KASHMIR
Saniyari,Kathua,JAMMU & KASHMIR
Chak Charuhn,Kathua,JAMMU & KASHMIR
Chak Ramchand,Kathua,JAMMU & KASHMIR
Uttri,Kathua,JAMMU & KASHMIR
Logate,Kathua,JAMMU & KASHMIR
Sahaar ,Kathua,JAMMU & KASHMIR
Janglote,Kathua,JAMMU & KASHMIR
Chak Luden,Kathua,JAMMU & KASHMIR
Chak Sajjan,Kathua,JAMMU & KASHMIR
Chak Rigu (Chak Riju),Kathua,JAMMU & KASHMIR
Kharot,Kathua,JAMMU & KASHMIR
Gehtar Wan,Kathua,JAMMU & KASHMIR
Kalspur,Kathua,JAMMU & KASHMIR
Kothi Jagir,Kathua,JAMMU & KASHMIR
Baroi,Kathua,JAMMU & KASHMIR
Mehtab Pur,Kathua,JAMMU & KASHMIR
Bhatoli,Kathua,JAMMU & KASHMIR
Rakheh,Kathua,JAMMU & KASHMIR
Khani Yara,Kathua,JAMMU & KASHMIR
Sawla,Kathua,JAMMU & KASHMIR
Hatli,Kathua,JAMMU & KASHMIR
Bhugat,Kathua,JAMMU & KASHMIR
Tridwan,Kathua,JAMMU & KASHMIR
Kasori,Kathua,JAMMU & KASHMIR
Domar,Kathua,JAMMU & KASHMIR
Then,Kathua,JAMMU & KASHMIR
Gharti,Kathua,JAMMU & KASHMIR
Kehnta,Kathua,JAMMU & KASHMIR
Nera (Nora),Kathua,JAMMU & KASHMIR
Basant Pur,Kathua,JAMMU & KASHMIR
Dakhnaka,Kathua,JAMMU & KASHMIR
Katlehr,Kathua,JAMMU & KASHMIR
Barthindi,Kathua,JAMMU & KASHMIR
Barni,Kathua,JAMMU & KASHMIR
Danna,Kathua,JAMMU & KASHMIR
Bharrah,Kathua,JAMMU & KASHMIR
Dhanore,Kathua,JAMMU & KASHMIR
Mangari (Un-inhabited),Kathua,JAMMU & KASHMIR
Nonaal,Kathua,JAMMU & KASHMIR
Karroh,Kathua,JAMMU & KASHMIR
Brohandahi,Kathua,JAMMU & KASHMIR
Hote,Kathua,JAMMU & KASHMIR
Jandore,Kathua,JAMMU & KASHMIR
Maha,Kathua,JAMMU & KASHMIR
Tarrah,Kathua,JAMMU & KASHMIR
Mangota,Kathua,JAMMU & KASHMIR
Maroli,Kathua,JAMMU & KASHMIR
Chak Lachhaman,Kathua,JAMMU & KASHMIR
Rakh Jahfar,Kathua,JAMMU & KASHMIR
Jagat Pur,Kathua,JAMMU & KASHMIR
Chak Sardah (Un-inhabited),Kathua,JAMMU & KASHMIR
Matandi,Kathua,JAMMU & KASHMIR
Chak Gusaun,Kathua,JAMMU & KASHMIR
Chak Gota,Kathua,JAMMU & KASHMIR
Rajiani,Kathua,JAMMU & KASHMIR
Tarf Tajwal,Kathua,JAMMU & KASHMIR
Tarf Bajwal,Kathua,JAMMU & KASHMIR
Chak Sardar Desa Singh,Kathua,JAMMU & KASHMIR
Changrah,Kathua,JAMMU & KASHMIR
Chak Sujanpur (Chak Suyanpur),Kathua,JAMMU & KASHMIR
Badalha,Kathua,JAMMU & KASHMIR
Chak Drab Khan,Kathua,JAMMU & KASHMIR
Chak Gadadhar,Kathua,JAMMU & KASHMIR
Rakh Lachipura,Kathua,JAMMU & KASHMIR
Chak Bhaga,Kathua,JAMMU & KASHMIR
Chak Nanak,Kathua,JAMMU & KASHMIR
Sher Pur,Kathua,JAMMU & KASHMIR
Bigwan,Kathua,JAMMU & KASHMIR
Chak Gokal,Kathua,JAMMU & KASHMIR
Muthi Rakh Walan,Kathua,JAMMU & KASHMIR
Muthi Jagir,Kathua,JAMMU & KASHMIR
Bhadi Yari,Kathua,JAMMU & KASHMIR
Dadoli,Kathua,JAMMU & KASHMIR
Chatha,Kathua,JAMMU & KASHMIR
Jawala Pur,Kathua,JAMMU & KASHMIR
Chak Aidal,Kathua,JAMMU & KASHMIR
Bharthiyal,Kathua,JAMMU & KASHMIR
Amargarh,Kathua,JAMMU & KASHMIR
Muthi Khurd,Kathua,JAMMU & KASHMIR
Chhajiyal,Kathua,JAMMU & KASHMIR
Suraj Beli (Un-inhabited),Kathua,JAMMU & KASHMIR
Nangal,Kathua,JAMMU & KASHMIR
Jugian,Kathua,JAMMU & KASHMIR
Air Wan,Kathua,JAMMU & KASHMIR
Jamraal,Kathua,JAMMU & KASHMIR
Narroha,Kathua,JAMMU & KASHMIR
Chak Poorab,Kathua,JAMMU & KASHMIR
Mir Pur Jagoo,Kathua,JAMMU & KASHMIR
Jakhbar,Kathua,JAMMU & KASHMIR
Pitho Bala,Kathua,JAMMU & KASHMIR
Pidri Bala,Kathua,JAMMU & KASHMIR
Tarf Bala,Kathua,JAMMU & KASHMIR
Pidri Pain,Kathua,JAMMU & KASHMIR
Drallan,Kathua,JAMMU & KASHMIR
Barmora,Kathua,JAMMU & KASHMIR
Dhar Mori (Bhar Mori),Kathua,JAMMU & KASHMIR
Bharariyal,Kathua,JAMMU & KASHMIR
Pandori,Kathua,JAMMU & KASHMIR
Gownd,Kathua,JAMMU & KASHMIR
Pamwal,Kathua,JAMMU & KASHMIR
Pitho Pain,Kathua,JAMMU & KASHMIR
Matore,Kathua,JAMMU & KASHMIR
Syed Pore,Kathua,JAMMU & KASHMIR
Kangriyal,Kathua,JAMMU & KASHMIR
Lakhnote,Kathua,JAMMU & KASHMIR
Mirpur Ram,Kathua,JAMMU & KASHMIR
Tarf Pain,Kathua,JAMMU & KASHMIR
Kirpaal,Kathua,JAMMU & KASHMIR
Khukhiyal,Kathua,JAMMU & KASHMIR
Narolin,Kathua,JAMMU & KASHMIR
Saiper Sipla,Kathua,JAMMU & KASHMIR
Tarf Sanji,Kathua,JAMMU & KASHMIR
Jrai,Kathua,JAMMU & KASHMIR
Rer,Kathua,JAMMU & KASHMIR
Majra,Kathua,JAMMU & KASHMIR
Chak Devia,Kathua,JAMMU & KASHMIR
Jhumber Mahtaba,Kathua,JAMMU & KASHMIR
Gandial,Kathua,JAMMU & KASHMIR
Bhagthali,Kathua,JAMMU & KASHMIR
Makhsoos Pur,Kathua,JAMMU & KASHMIR
Keerian,Kathua,JAMMU & KASHMIR
Ramnagar,Kathua,JAMMU & KASHMIR
Forest Block,Kathua,JAMMU & KASHMIR
Taraf Manjali (OG),Kathua,JAMMU & KASHMIR
Chak Sheikhan (OG),Kathua,JAMMU & KASHMIR
Chak Ram Singh (OG),Kathua,JAMMU & KASHMIR
Govindsar (OG),Kathua,JAMMU & KASHMIR
Chak Khuni (OG),Kathua,JAMMU & KASHMIR
Chak Hari Singh (OG),Kathua,JAMMU & KASHMIR
Chak Pratap Singh (OG),Kathua,JAMMU & KASHMIR
Chak Gainda (OG),Kathua,JAMMU & KASHMIR
Rakh Sarkar Palahi (OG),Kathua,JAMMU & KASHMIR
Chak Sohna Nupa (OG),Kathua,JAMMU & KASHMIR
Hiranagar,Kathua,JAMMU & KASHMIR
Chelak,Kathua,JAMMU & KASHMIR
Dinga Amb,Kathua,JAMMU & KASHMIR
Koper,Kathua,JAMMU & KASHMIR
Mangloor,Kathua,JAMMU & KASHMIR
Kore Qasba,Kathua,JAMMU & KASHMIR
Katli,Kathua,JAMMU & KASHMIR
Dhalta,Kathua,JAMMU & KASHMIR
Chak Balunda,Kathua,JAMMU & KASHMIR
Said,Kathua,JAMMU & KASHMIR
Rakh Sarkar Sahllan,Kathua,JAMMU & KASHMIR
Maila,Kathua,JAMMU & KASHMIR
Gara,Kathua,JAMMU & KASHMIR
Sohaal,Kathua,JAMMU & KASHMIR
Kannah,Kathua,JAMMU & KASHMIR
Stoora,Kathua,JAMMU & KASHMIR
Bhayia,Kathua,JAMMU & KASHMIR
Dhamiyal,Kathua,JAMMU & KASHMIR
Patta Rasana,Kathua,JAMMU & KASHMIR
Koohtah,Kathua,JAMMU & KASHMIR
Pantal,Kathua,JAMMU & KASHMIR
Chhan Khatriyan,Kathua,JAMMU & KASHMIR
Chhan Moraan,Kathua,JAMMU & KASHMIR
Gurah Mehtian,Kathua,JAMMU & KASHMIR
Gurah Mondian,Kathua,JAMMU & KASHMIR
Bhatiari Brahmana,Kathua,JAMMU & KASHMIR
Qasba,Kathua,JAMMU & KASHMIR
Sahllan,Kathua,JAMMU & KASHMIR
Khurar,Kathua,JAMMU & KASHMIR
Spreen,Kathua,JAMMU & KASHMIR
Thaka Pur Rajputan ,Kathua,JAMMU & KASHMIR
Balaahr,Kathua,JAMMU & KASHMIR
Rakh Sarkar Jar Bagni (Un-inhabited),Kathua,JAMMU & KASHMIR
Thath,Kathua,JAMMU & KASHMIR
Bann,Kathua,JAMMU & KASHMIR
Dhandiyari,Kathua,JAMMU & KASHMIR
Amala,Kathua,JAMMU & KASHMIR
Gurah Suraj,Kathua,JAMMU & KASHMIR
Dhaloti,Kathua,JAMMU & KASHMIR
Dhamaal,Kathua,JAMMU & KASHMIR
Sande Chak,Kathua,JAMMU & KASHMIR
Hamir Pur,Kathua,JAMMU & KASHMIR
Chhan Rorian,Kathua,JAMMU & KASHMIR
Kishan Pur Kandi,Kathua,JAMMU & KASHMIR
Sehswan,Kathua,JAMMU & KASHMIR
Chak Khiloo,Kathua,JAMMU & KASHMIR
Candwan (Chandwan),Kathua,JAMMU & KASHMIR
Chhan Datial,Kathua,JAMMU & KASHMIR
Chhan Ranga,Kathua,JAMMU & KASHMIR
Chak Diyalla,Kathua,JAMMU & KASHMIR
Chak Bannun,Kathua,JAMMU & KASHMIR
Dhalli,Kathua,JAMMU & KASHMIR
Dhangroli,Kathua,JAMMU & KASHMIR
Juwaloo Chak,Kathua,JAMMU & KASHMIR
Arjan Chak,Kathua,JAMMU & KASHMIR
Chak  Budhu ,Kathua,JAMMU & KASHMIR
Gurah Balu,Kathua,JAMMU & KASHMIR
Suba Chak,Kathua,JAMMU & KASHMIR
Dhandowal,Kathua,JAMMU & KASHMIR
Basi Jamwal,Kathua,JAMMU & KASHMIR
Muthi Hardo Dunga,Kathua,JAMMU & KASHMIR
Behri,Kathua,JAMMU & KASHMIR
Chak Sukhu ,Kathua,JAMMU & KASHMIR
Katal Brahmanan,Kathua,JAMMU & KASHMIR
Katal Gujran,Kathua,JAMMU & KASHMIR
Sherpur Bala,Kathua,JAMMU & KASHMIR
Jandi,Kathua,JAMMU & KASHMIR
Chak Jahlla,Kathua,JAMMU & KASHMIR
Allu Chak,Kathua,JAMMU & KASHMIR
Thuthi Chak,Kathua,JAMMU & KASHMIR
Feru Chak,Kathua,JAMMU & KASHMIR
Kariyara,Kathua,JAMMU & KASHMIR
Barmal,Kathua,JAMMU & KASHMIR
Jarjarth (Jhajarth),Kathua,JAMMU & KASHMIR
Gurah Baildaran,Kathua,JAMMU & KASHMIR
Langriyal,Kathua,JAMMU & KASHMIR
Karwal,Kathua,JAMMU & KASHMIR
Hiranagar,Kathua,JAMMU & KASHMIR
Pathwal,Kathua,JAMMU & KASHMIR
Charwal,Kathua,JAMMU & KASHMIR
Chak Ganga Ram,Kathua,JAMMU & KASHMIR
Gehr,Kathua,JAMMU & KASHMIR
Chak Fatoo,Kathua,JAMMU & KASHMIR
Balahn Bala,Kathua,JAMMU & KASHMIR
Bhagwal,Kathua,JAMMU & KASHMIR
Khatriyal,Kathua,JAMMU & KASHMIR
Thiraru,Kathua,JAMMU & KASHMIR
Wazire Chak,Kathua,JAMMU & KASHMIR
Muthi Hardu,Kathua,JAMMU & KASHMIR
Karandi Kalan,Kathua,JAMMU & KASHMIR
Bham Barwan,Kathua,JAMMU & KASHMIR
Karandi Khurd,Kathua,JAMMU & KASHMIR
Khan Pur,Kathua,JAMMU & KASHMIR
Balahn Pain,Kathua,JAMMU & KASHMIR
Parso Chak,Kathua,JAMMU & KASHMIR
Bandhor,Kathua,JAMMU & KASHMIR
Partyal,Kathua,JAMMU & KASHMIR
Chak Shiba,Kathua,JAMMU & KASHMIR
Malwan,Kathua,JAMMU & KASHMIR
Parkh Wal,Kathua,JAMMU & KASHMIR
Wand Manhas,Kathua,JAMMU & KASHMIR
Chak Nathal,Kathua,JAMMU & KASHMIR
Ladhwal Khurd,Kathua,JAMMU & KASHMIR
Ladhwal Kalan,Kathua,JAMMU & KASHMIR
Chapaki Khurd,Kathua,JAMMU & KASHMIR
Chapaki Kalan,Kathua,JAMMU & KASHMIR
Haripur Barhmanan,Kathua,JAMMU & KASHMIR
Hor,Kathua,JAMMU & KASHMIR
Rakh Sarkar Hiranagar,Kathua,JAMMU & KASHMIR
Rattan Chak,Kathua,JAMMU & KASHMIR
Chhan Chhakri,Kathua,JAMMU & KASHMIR
Bailiyan,Kathua,JAMMU & KASHMIR
Chak Jangi ,Kathua,JAMMU & KASHMIR
Murli Chak,Kathua,JAMMU & KASHMIR
Kunthal,Kathua,JAMMU & KASHMIR
Chakra,Kathua,JAMMU & KASHMIR
Bhagwane Chak ,Kathua,JAMMU & KASHMIR
Chak Prohtan,Kathua,JAMMU & KASHMIR
Gurah Sarkari,Kathua,JAMMU & KASHMIR
Dolka (Un-inhabited),Kathua,JAMMU & KASHMIR
Saniyal,Kathua,JAMMU & KASHMIR
Bani Chak,Kathua,JAMMU & KASHMIR
Thakur Pur Grore,Kathua,JAMMU & KASHMIR
Sherpur Pain,Kathua,JAMMU & KASHMIR
Panjgrain Brahmana,Kathua,JAMMU & KASHMIR
Loundhi ,Kathua,JAMMU & KASHMIR
Spalwan,Kathua,JAMMU & KASHMIR
Khanak,Kathua,JAMMU & KASHMIR
Bhati Mehru,Kathua,JAMMU & KASHMIR
Bobia,Kathua,JAMMU & KASHMIR
Ladwal,Kathua,JAMMU & KASHMIR
Krohl Krishna,Kathua,JAMMU & KASHMIR
Krohl Buddu,Kathua,JAMMU & KASHMIR
Krohl Matherian,Kathua,JAMMU & KASHMIR
Gangu Chak,Kathua,JAMMU & KASHMIR
Tanda Neknam (Un-inhabited),Kathua,JAMMU & KASHMIR
Mathra Chak,Kathua,JAMMU & KASHMIR
Chak Bathal,Kathua,JAMMU & KASHMIR
Padal,Kathua,JAMMU & KASHMIR
Gadiyal,Kathua,JAMMU & KASHMIR
Rakh Sarkar Ladwal,Kathua,JAMMU & KASHMIR
Chak Rangi,Kathua,JAMMU & KASHMIR
Chak Gusawn,Kathua,JAMMU & KASHMIR
Changi ,Kathua,JAMMU & KASHMIR
Gota Ruha,Kathua,JAMMU & KASHMIR
Sukhdev Pur,Kathua,JAMMU & KASHMIR
Bakhrak,Kathua,JAMMU & KASHMIR
Sanjwan,Kathua,JAMMU & KASHMIR
Ladwal ,Kathua,JAMMU & KASHMIR
Dhangdev Pur,Kathua,JAMMU & KASHMIR
Jugial,Kathua,JAMMU & KASHMIR
Chak Wazir Chand,Kathua,JAMMU & KASHMIR
Chak Chhabba,Kathua,JAMMU & KASHMIR
Chak Dhari,Kathua,JAMMU & KASHMIR
Chak Haria,Kathua,JAMMU & KASHMIR
Chak Wazir Lahbju,Kathua,JAMMU & KASHMIR
Barnooh (Parnoo),Kathua,JAMMU & KASHMIR
Chak Desa Choudharian,Kathua,JAMMU & KASHMIR
Barsoo Chak,Kathua,JAMMU & KASHMIR
Chak Charakh,Kathua,JAMMU & KASHMIR
Marhin,Kathua,JAMMU & KASHMIR
Mukundpur Labanian,Kathua,JAMMU & KASHMIR
Chak Gupala,Kathua,JAMMU & KASHMIR
Khanwal,Kathua,JAMMU & KASHMIR
Chak Jawahir,Kathua,JAMMU & KASHMIR
Rughnath Pora,Kathua,JAMMU & KASHMIR
Mandleyal,Kathua,JAMMU & KASHMIR
Chan Tanda,Kathua,JAMMU & KASHMIR
Chak Changa,Kathua,JAMMU & KASHMIR
Chak Gojar,Kathua,JAMMU & KASHMIR
Kandiyal (Kariyala),Kathua,JAMMU & KASHMIR
Chak Deb (Chak Debo),Kathua,JAMMU & KASHMIR
Chak Mahesha,Kathua,JAMMU & KASHMIR
Ramgarh,Kathua,JAMMU & KASHMIR
Mast Chak,Kathua,JAMMU & KASHMIR
Lachhmi Pur,Kathua,JAMMU & KASHMIR
Mandahla,Kathua,JAMMU & KASHMIR
Spral Pain,Kathua,JAMMU & KASHMIR
Chak Handa,Kathua,JAMMU & KASHMIR
Sultan Pur,Kathua,JAMMU & KASHMIR
Chak Sardar Attar Singh,Kathua,JAMMU & KASHMIR
Chak Kahna,Kathua,JAMMU & KASHMIR
Rampur,Kathua,JAMMU & KASHMIR
Khandwal,Kathua,JAMMU & KASHMIR
Salal Pur,Kathua,JAMMU & KASHMIR
Mukund Pur ,Kathua,JAMMU & KASHMIR
Chak Shama,Kathua,JAMMU & KASHMIR
Kishan Pur Andhar,Kathua,JAMMU & KASHMIR
Hari Pur Sainiyan,Kathua,JAMMU & KASHMIR
Chhan Lal Din,Kathua,JAMMU & KASHMIR
Naun Chak,Kathua,JAMMU & KASHMIR
Ganjnal,Kathua,JAMMU & KASHMIR
Maniari,Kathua,JAMMU & KASHMIR
Pansar,Kathua,JAMMU & KASHMIR
Rathua,Kathua,JAMMU & KASHMIR
Thaggali,Kathua,JAMMU & KASHMIR
Chak Bhohalan (Un-inhabited),Kathua,JAMMU & KASHMIR
Maharaj Pur,Kathua,JAMMU & KASHMIR
Pahar Pur,Kathua,JAMMU & KASHMIR
Mada,Kathua,JAMMU & KASHMIR
Chak Dhota,Kathua,JAMMU & KASHMIR
Dohlian Jattan,Kathua,JAMMU & KASHMIR
Kore Punoo,Kathua,JAMMU & KASHMIR
Nihal Pora,Kathua,JAMMU & KASHMIR
Baramula,Baramula,JAMMU & KASHMIR
Sopore,Baramula,JAMMU & KASHMIR
Sagi Pora,Baramula,JAMMU & KASHMIR
Zalura,Baramula,JAMMU & KASHMIR
Harwan,Baramula,JAMMU & KASHMIR
Lathi Shath,Baramula,JAMMU & KASHMIR
Nawpora Tujar,Baramula,JAMMU & KASHMIR
Tujar Pahle Har,Baramula,JAMMU & KASHMIR
Yamberzal Wari,Baramula,JAMMU & KASHMIR
Rampora Rajpur,Baramula,JAMMU & KASHMIR
Idi Pora,Baramula,JAMMU & KASHMIR
Mala Pora Panditan,Baramula,JAMMU & KASHMIR
Takia Khan Mohammad,Baramula,JAMMU & KASHMIR
Kherman Reshan,Baramula,JAMMU & KASHMIR
Chera Har,Baramula,JAMMU & KASHMIR
Muqam Shaheed Mir,Baramula,JAMMU & KASHMIR
Watlab,Baramula,JAMMU & KASHMIR
Magri Pora,Baramula,JAMMU & KASHMIR
Hasmat Pora (Hath Langu),Baramula,JAMMU & KASHMIR
Botingu,Baramula,JAMMU & KASHMIR
Mandji,Baramula,JAMMU & KASHMIR
Mala Mapan Pora,Baramula,JAMMU & KASHMIR
Doru,Baramula,JAMMU & KASHMIR
Sem Pora,Baramula,JAMMU & KASHMIR
Gori Pora Dara Pora,Baramula,JAMMU & KASHMIR
Bumai,Baramula,JAMMU & KASHMIR
Wadura,Baramula,JAMMU & KASHMIR
Logri Pora,Baramula,JAMMU & KASHMIR
Zooni Pora,Baramula,JAMMU & KASHMIR
Nathi Pora,Baramula,JAMMU & KASHMIR
Seelo,Baramula,JAMMU & KASHMIR
Gund Brat,Baramula,JAMMU & KASHMIR
Danger Pora,Baramula,JAMMU & KASHMIR
Wara  Pora,Baramula,JAMMU & KASHMIR
Janwara,Baramula,JAMMU & KASHMIR
Path Bug,Baramula,JAMMU & KASHMIR
Adi Pora,Baramula,JAMMU & KASHMIR
Said Pora,Baramula,JAMMU & KASHMIR
Brat,Baramula,JAMMU & KASHMIR
Bohri Pora,Baramula,JAMMU & KASHMIR
Maz Bug,Baramula,JAMMU & KASHMIR
Seer Jagir,Baramula,JAMMU & KASHMIR
Dara Nambal,Baramula,JAMMU & KASHMIR
Tarazuea,Baramula,JAMMU & KASHMIR
Gund Bakir,Baramula,JAMMU & KASHMIR
Rakh Haigam,Baramula,JAMMU & KASHMIR
Haigam,Baramula,JAMMU & KASHMIR
Panji Pora,Baramula,JAMMU & KASHMIR
Krank Shivan,Baramula,JAMMU & KASHMIR
Wagul,Baramula,JAMMU & KASHMIR
Lalad,Baramula,JAMMU & KASHMIR
Sangrama,Baramula,JAMMU & KASHMIR
Pathu Kah Muqam,Baramula,JAMMU & KASHMIR
Chhuru,Baramula,JAMMU & KASHMIR
Bulagam,Baramula,JAMMU & KASHMIR
Chak Haigam,Baramula,JAMMU & KASHMIR
Tramba Gund,Baramula,JAMMU & KASHMIR
Renji,Baramula,JAMMU & KASHMIR
Hardushuo,Baramula,JAMMU & KASHMIR
Rashid Aabad,Baramula,JAMMU & KASHMIR
Amar Garh (OG),Baramula,JAMMU & KASHMIR
Now Pora Kalan (OG),Baramula,JAMMU & KASHMIR
Rafiabad,Baramula,JAMMU & KASHMIR
Mala Guni Pora ,Baramula,JAMMU & KASHMIR
Drusu Jagir,Baramula,JAMMU & KASHMIR
Behram Pora,Baramula,JAMMU & KASHMIR
Hib Danger Pora,Baramula,JAMMU & KASHMIR
Chitlora,Baramula,JAMMU & KASHMIR
Raban Ranahama,Baramula,JAMMU & KASHMIR
Pari Pora,Baramula,JAMMU & KASHMIR
Vedipora Lurhama ,Baramula,JAMMU & KASHMIR
Hadi Pora,Baramula,JAMMU & KASHMIR
Laisar,Baramula,JAMMU & KASHMIR
Dundusa,Baramula,JAMMU & KASHMIR
Dursu Khalsa,Baramula,JAMMU & KASHMIR
Chrali Gund,Baramula,JAMMU & KASHMIR
Duli Gund,Baramula,JAMMU & KASHMIR
Magray Pora Pain,Baramula,JAMMU & KASHMIR
Magray Pora Bala,Baramula,JAMMU & KASHMIR
Dangi Wachha,Baramula,JAMMU & KASHMIR
Yar Bug,Baramula,JAMMU & KASHMIR
Manchan Pora,Baramula,JAMMU & KASHMIR
Fider Pora,Baramula,JAMMU & KASHMIR
Sonian Saidnar,Baramula,JAMMU & KASHMIR
Wari Pora,Baramula,JAMMU & KASHMIR
Rawchha,Baramula,JAMMU & KASHMIR
Sangram Pora,Baramula,JAMMU & KASHMIR
Hardu Chanam,Baramula,JAMMU & KASHMIR
Mandinu Hachinar,Baramula,JAMMU & KASHMIR
Dugri Pora,Baramula,JAMMU & KASHMIR
Hachivi Pora,Baramula,JAMMU & KASHMIR
Zethan,Baramula,JAMMU & KASHMIR
Chipdeji,Baramula,JAMMU & KASHMIR
Dalri,Baramula,JAMMU & KASHMIR
