news_id,article_id,article_title,date_prediction,event,event_type
1759,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"At several places, Pedestrians had to wade through ankle-height water, reports added.",off
1760,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"At some busy and important junctions including Regal Chowk, the pedestrians preferred to hire auto-rickshaw to cross the roads.",off
1761,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],Most of the public transport went off the roads due to waterlogging which hampered the smooth movement of traffic.The problem was compounded by the defunct drainage system in various areas.,off
1762,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"the defunct drainage system in various areas, according to locals led to the waterlogging.",off
1763,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"According to reports, the Srinagar Municipal Corporation has missed the deadlines of completing various drainage projects, despite Rs 50 crore funding.The scheme covers drainage projects of various area like Shalteng (19430 mtr) at a cost of 14.77 Crore, Lal Chowk, the commercial hub of the Valley (5786 mtr) at cost of Rs 9.96, Indra Nagar (6820 mtr) at a cost of Rs 9.83 crore, Gangroh (5680 mtr) at Rs 8.80 crore, and Mallabagh (37,656 mtr).",off
1764,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"The deadline for most projects was Oct 2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh said that SMC Drainage wing couldn’t complete the drainage project in SRINAGAR due to lack of funds.",off
1765,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"“We require 1335 kilometers of drainage in SRINAGAR but SMC Drainage wing could complete only 623 and 712 is yet to be completed and for that SMC Drainage wing need at least Rs 1100 crores,” 2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh said.Due to court stay, 2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh said, SMC Drainage wing couldn’t complete the Lal Chowk, the commercial hub of the Valley de-watering project on time which results in massive water-logging in the area.",off
1766,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],“Now SMC Drainage wing have started working on the Lal Chowk de-watering project and it will take SMC Drainage wing just a month to complete the Lal Chowk de-watering project.,off
1767,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"Then there would be no waterlogging,” 2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh said.2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh further said that the water-logging happens in metropolitan cities too.",off
1768,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"“When the water goes beyond drainage capacity, the water-logging will happen,” 2018.Executive Engineer, SMC Drainage wing, Aazad Ahmad Beigh said.",off
1769,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"SMC Drainage wing has already missed a deadline for completion of the de-watering station in Lal Chowk, the commercial hub of the Valley in June 2017.The drainage system in SRINAGAR, especially in SRINAGAR, was badly hit during the 2014 floods.",off
1770,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"The Housing and Urban Development Department (HUDD) has not been able to restore 2017.The drainage system in the valley, especially in Srinagar city permanently.",off
1771,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"However, the World Bank had agreed to provide funds for the restoration of 2017.The drainage system in the valley, especially in Srinagar city.",off
1772,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"“the World Bank had agreed to provide funds for 42 dewatering stations of SRINAGAR,” an official of The Housing and Urban Development Department (HUDD) said.Junaid Mattoo, Mayor of SRINAGAR, in a series of tweets blamed paucity of funds for 2017.The drainage system in the valley, especially in Srinagar city.",off
1773,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],“Waterlogging in SRINAGAR is a consequence of decades of neglect and we can’t possibly expect Waterlogging in the city to resolve within two hours while it’s raining.,off
1774,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],The SMC Drainage wing mobilization is optimal and we's Dewatering Units are fire fighting to the best of our Dewatering Units's capacity.,off
1775,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"we need MAJOR drainage funding!” Junaid Mattoo, Mayor of Srinagar tweetedIn the second tweet Junaid Mattoo, Mayor of Srinagar blamed people for the flood like situation.",off
1776,285,"Water,Water Everywhere…Missed Deadlines,Paucity Of Funds Clogging City Roads",[],"“Introspection!” Junaid Mattoo, Mayor of Srinagar said.",off
1777,286,Army Chief Warns Pak Against Repeat Of Kargil,"[('2019-07-25', 'Thursday')]","DRASS — As India commemorated 20 years of the Kargil war, Army Chief General Bipin Rawat on Thursday warned Pakistan to never attempt a repeat of the ""misadventure"".Speaking at a ceremony for commemoration of 20 years of the Kargil war Kargil Vijay Diwas, Army Chief General Bipin Rawat said, ""Army Chief General Bipin Rawat's warning to Pakistan is do not ever attempt such a misadventure any time, in the future.",attempt
1778,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"Anywhere, anytime do not think of such a misadventure.",attempt
1779,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"""""It was a big misadventure undertaken by the Pakistan army in 1999.",attempt
1780,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"Pakistan did not appreciate the will and the intent of the Indian political establishment and the Indian armed forces that we will never allow Pakistan to succeed,"" Army Chief General Bipin Rawat said.Referring to the advantageous position Pakistani infiltrators occupied during the Kargil war, Army Chief General Bipin Rawat said, ""No matter what heights Pakistani infiltrators capture we will always get back to Pakistani infiltrators and recapture those heights.",attempt
1781,286,Army Chief Warns Pak Against Repeat Of Kargil,[],This was evident during the Kargil war in 1999.,attempt
1782,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"""Commenting on the question of Pakistan's denial about Pakistan's involvement in Pulwama attack, Army Chief General Bipin Rawat said, ""we are aware of the truth.",attempt
1783,286,Army Chief Warns Pak Against Repeat Of Kargil,[],So we are not carried away by any statement.,attempt
1784,286,Army Chief Warns Pak Against Repeat Of Kargil,[],the truth is known to we.,attempt
1785,286,Army Chief Warns Pak Against Repeat Of Kargil,[],Our intelligence agencies have given ample proof about what had happened in Pulwama.,attempt
1786,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"""When asked about manufacture of arms in India, Army Chief General Bipin Rawat said, ""Make in India has already commenced.",attempt
1787,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"Guns, helicopters are being manufactured in India.",attempt
1788,286,Army Chief Warns Pak Against Repeat Of Kargil,[],we are also looking for ammunitions manufacturing in India.,attempt
1789,286,Army Chief Warns Pak Against Repeat Of Kargil,[],Now AK 203 with a joint venture with Russia will be manufactured in Amethi...we will be happy if anyone willing to share technologies with we.,attempt
1790,286,Army Chief Warns Pak Against Repeat Of Kargil,[],Army Chief General Bipin Rawat would say technologies will be gainer as we have a huge market here.,attempt
1791,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"Once a weapon is tested here by we, a weapon gets world famous.",attempt
1792,286,Army Chief Warns Pak Against Repeat Of Kargil,[],"""On being asked about infiltration after Balakot air strike, Army Chief General Bipin Rawat said, ""Infiltration has come down because of two reasons one is because we's troops are sitting alert and we have also inducted additional forces to strengthen the counter-infiltration grid.""",attempt
1793,287,Power misused in use of pellet guns: HCBA,"[('2019-07-25', 'Thursday')]","In connection to the pellet victims and usage of pellet guns in Kashmir, the Jammu Kashmir High Court Bar Association on Thursday informed the High Court that the power of the state to use force is regulated by law—observing that the “law has not ignored the proportion of force to be used against in any unlawful assembly.” Senior counsel Zaffar Shah representing the Jammu Kashmir High Court Bar Association in the matter explained the Sections of Criminal Procedure Code (CrPC) from Section 127 to 132.",force
1794,288,Pak cannot fight full-fledged war with India: Rajnath Singh,"[('2019-07-26', 'Friday')]","New Delhi: Pakistan can neither fight a full-fledged nor a limited war with India and is waging a proxy war, Defence Minister Rajnath Singh said on Friday.",fight
1795,288,Pak cannot fight full-fledged war with India: Rajnath Singh,[],Defence Minister Rajnath Singh was speaking in Lok Sabha on the 20th anniversary of Kargil conflict as Parliament paid tributes to Indian soldiers who drove out enemy forces and reclaimed Kargil [&#8230;],fight
1796,289,Four assault cases reported,"[('2019-07-25', 'Thursday')]",STATE TIMES NEWS JAMMU: Four assault cases have been reported in city on Thursday.,assault
1797,289,Four assault cases reported,[],"As per the details, Rakesh Sharma, son of Pritam Lal, resident of Sunderbani was attacked in Jewel area and was shifted to hospital.",assault
1798,289,Four assault cases reported,[],"Meanwhile, Sidhant Bhalla, son of Ashwani Bhalla, resident of Poonch was also injured in assault and was shifted [&#8230;]",assault
1799,290,Civic Safaikaramcharis threaten strike from July 29,"[('2019-07-25', 'Thursday'), ('2019-07-29', 'July 29')]",STATE TIMES NEWS JAMMU: Civic Safaikaramcharis Union (CSKU) of Jammu Municipal Corporation (JMC) on Thursday served a 72-hour ultimatum to the authorities and threatened to go on strike from July 29 if Civic Safaikaramcharis Union (CSKU) of Jammu Municipal Corporation (JMC)'s demands are not redressed.,strike
1800,290,Civic Safaikaramcharis threaten strike from July 29,[],"Led by Rinku Gill, President CSKU, Civic Safaikaramcharis Union (CSKU) of Jammu Municipal Corporation (JMC) assembled in the Town Hall premises and raised slogans in [&#8230;]",strike
1801,291,Govt Open To Talks Within Constitution: MHA,"[('2019-07-24', 'Wednesday')]","SRINAGAR — Government is always open to talks within the framework of the Constitution of India, Ministry of Home Affairs headed by Amit Shah said on Wednesday.Responding to a question by Rajya Sabha member Amar Singh whether Government has chalked out any plan for the peaceful resolution of Kashmir issue which is pending for the last several decades, minister of state Home G Kishan Reddy the security situation in SRINAGAR has witnessed an improvement in the first half of this year over the corresponding period of 2018.“Government has taken various measures, such as strengthening of security apparatus, strict enforcement of law against anti-national elements, intensified cordon and search operations to effectively deal with the challenges posed by the (militant) organizations,” minister of state Home G Kishan Reddy said in written reply in Upper House of Parliament.“Net infiltration has reduced by 43% and local recruitment has declined by 40%.",attack
1802,291,Govt Open To Talks Within Constitution: MHA,[],(Militant) initiated incidents have declined by 28%.,attack
1803,291,Govt Open To Talks Within Constitution: MHA,"[('2019-07-14', '14 July, 2019')]","Actions initiated by the security forces witnessed an increase of 59% and have resulted in 22% increase in neutralization of (militants),” minister of state Home G Kishan Reddy said.Government, minister of state Home G Kishan Reddy added, is always open to talks within the framework of the Constitution of IndiaIndia.minister of state Home G Kishan Reddy minister of state Home G Kishan Reddy said pursuant to Government's policy of “zero tolerance against militancy”, the security forces are taking proactive action against militants.“Due to concerted and synergized efforts of security forces, 126 militants have been neutralized in SRINAGAR since January, 2019 till 14 July, 2019.” However, minister of state Home G Kishan Reddy said, during concerted and synergized efforts of security forces, 75 security forces personnel have been killed that includes 40 CRPF personnel slain in Pulwama attack.",attack
1804,291,Govt Open To Talks Within Constitution: MHA,[],Pulwama attack was carried by a youth belonging to Pulwama and Pulwama attack brought India and Pakistan to the brink of war.,attack
1805,292,My Yatra to Banihal,[],"In our quasi normalcy time, it was just three hours journey from Srinagar to Banihal.",take
1806,292,My Yatra to Banihal,[],"Though, cumbersome due to many checkpoints, identifications and quizzing by security forces has now become part of our destiny.",take
1807,292,My Yatra to Banihal,[],We have been tamed for such humiliations and We hardly react to such humiliations now.,take
1808,292,My Yatra to Banihal,[],"We realise our limited rights, divine rule of AFSPA and hedonistic exhibition of Jeep tying incidents of civilians.Every time we leave home, we always bear in mind that we have to face fatal challenges and we do often recite Ayat-ul-kursi for not getting trapped into any such mishap which has been consuming our lives, I remember since I's college days.This day on I's journey to Banihal, either I's prayers did not reach to Almighty or I hurried without knowing the fact that everything has changed in Jammu and Kashmir since recent elections.",take
1809,292,My Yatra to Banihal,[],"Not only Kashmir, but India is changing in every aspect of life.I had to reach higher secondary school in Khari Banihal where students from remote and inaccessible hilly areas were eager to quiz I about I's career and take tips for students from remote and inaccessible hilly areas's life, safety and future.",take
1810,292,My Yatra to Banihal,[],I was dreading about the fact what I should tell students from remote and inaccessible hilly areas if students from remote and inaccessible hilly areas raise questions on safety concerns of girls.,take
1811,292,My Yatra to Banihal,[],This day on my journey to Banihal turned out to be the most horrible day in I's life.,take
1812,292,My Yatra to Banihal,[],"At crossing near Sangam on the highway, one of the security officials directed I's driver to park the car on the other side of the highway where dozens of vehicles with frustrated people crammed inside were already being put under ""halt surveillance"".",take
1813,292,My Yatra to Banihal,[],"the highway was dusty, Sun was red hot and rage was brewing.J&K police official coming from the opposite side in a vehicle expressed helplessness.",take
1814,292,My Yatra to Banihal,[],"""the highway is controlled and managed directly by CRPF.",take
1815,292,My Yatra to Banihal,[],J&K police official coming from the opposite side in a vehicle have no role but to eat dust all day.,take
1816,292,My Yatra to Banihal,[],Thanks to Mehbooba Mufti and Mehbooba Mufti's alliance”.,take
1817,292,My Yatra to Banihal,[],J&K police official coming from the opposite side in a vehicle said with fake smile on J&K police official coming from the opposite side in a vehicle's face.,take
1818,292,My Yatra to Banihal,[],"I just kept staring at J&K police official coming from the opposite side in a vehicle.Waiting for half an hour, another officer of JK police came to I's rescue and permitted the car to take internal route via Dialagam, Dooru and on to Verinag and Banihal Tunnel.Few miles drive was all we could do when another wait of forty minutes was imposed on we near Anantnag chowk.",take
1819,292,My Yatra to Banihal,[],It seemed war like situation... we were being x rayed by eagle eyed security officials from every angle.,take
1820,292,My Yatra to Banihal,[],Behind we's was a couple with two kids on motorbike which made I's heartbeat halt.,take
1821,292,My Yatra to Banihal,[],I felt angrier over man who had three human beings behind without helmet and the kid was holding mama's back in a very precarious situation.,take
1822,292,My Yatra to Banihal,[],Security officials with ‘divine’ powers were halting every one with big stick in hand and mocking face.,take
1823,292,My Yatra to Banihal,[],we decided to mock back but then the official made a sign to move forward.Somehow we reached at Verinag crossing and thankfully it was few minutes drive from here to Banihal Tunnel.,take
1824,292,My Yatra to Banihal,[],"A local traffic cop stopped we and yelled, ""A local traffic cop will only let we through if we have order from Centre.",take
1825,292,My Yatra to Banihal,[],"A local traffic cop will not accept police permission"".",take
1826,292,My Yatra to Banihal,[],I found it very funny and started to laugh.,take
1827,292,My Yatra to Banihal,[],I's Kashmiri friend from we accompanying I was so frustrated that My Kashmiri friend from US accompanying me started heated argument with A local traffic cop.,take
1828,292,My Yatra to Banihal,[],Security personnel at the other side of Verinag crossing were laughing.,take
1829,292,My Yatra to Banihal,[],Security personnel at the other side of the crossing perhaps felt it very entertaining.,take
1830,292,My Yatra to Banihal,[],"Perhaps, it was more than that.",take
1831,292,My Yatra to Banihal,[],Another police officer when approached by I on phone advised we proceed on link road which connects to highway later end.,take
1832,292,My Yatra to Banihal,[],"Another police officer said Another police officer will meet we at zig (honestly, I don't know what zig is).",take
1833,292,My Yatra to Banihal,[],A local traffic cop was smirking while watched we succumb and leaving.,take
1834,292,My Yatra to Banihal,[],"A local traffic cop felt victorious, felt was obvious by A local traffic cop's expression.",take
1835,292,My Yatra to Banihal,[],Meeting police officer amid huge traffic halt at zig was something beyond we's reach.,take
1836,292,My Yatra to Banihal,[],The road was nowhere to be seen due to long queue of  hundreds of vehicles.,take
1837,292,My Yatra to Banihal,[],"So, I gave up and asked my driver if my driver can manage to reverse.we saw Yatra vehicles coming from Jammu chanting ""Jai Sri Ram"" and many more slogans.",take
1838,292,My Yatra to Banihal,[],My Kashmiri friend from US accompanying me was suggesting a visit to Verinag instead of Banihal.,take
1839,292,My Yatra to Banihal,[],I was seething with anger and frustration.we were about to turn back when I got a call from police officer asking I to move now towards Banihal.,take
1840,292,My Yatra to Banihal,[],"I was indecisive but My Kashmiri friend from US accompanying me became adamant to move towards Banihal despite so much wait, dust and humiliation.the car somehow crossed Banihal Tunnel after seven hours of journey where security on duty stopped we again as many yatra buses coming from Jammu were about to cross the other side of Banihal Tunnel.",take
1841,292,My Yatra to Banihal,[],"When I objected, I was silenced by the argument that the road is too narrow to accommodate two vehicles at a time until I called another police official who rubbished the argument that the road is too narrow to accommodate two vehicles at a time and permitted we to move.",take
1842,292,My Yatra to Banihal,[],The scene in Banihal was more pathetic and heartbreaking.,take
1843,292,My Yatra to Banihal,[],Here normal tourists from other states of India were advised to wait until 3 pm to cross Banihal Tunnel.,take
1844,292,My Yatra to Banihal,[],"Many families with kids and babies were frantically looking for food, shelter and help.",take
1845,292,My Yatra to Banihal,[],Only locals were giving Many families with kids and babies smile and hope and something to eat.,take
1846,292,My Yatra to Banihal,[],"All of a sudden, the rain started pouring in and everybody rushed for a shelter.",take
1847,292,My Yatra to Banihal,[],It was very painful to see tourist kids and babies crying and mothers hiding tourist kids and babies under mothers's bosom.I was lost in I's childhood memories of Amarnath Yatra in the middle of Banihal when Yatris and Sadhus would come for pilgrimage to Banihal Tunnel.,take
1848,292,My Yatra to Banihal,[],We would wait for Yatris and Sadhus to come to We's house.,take
1849,292,My Yatra to Banihal,[],"I's father would feed Yatris and Sadhus, cloth Yatris and Sadhus and let Yatris and Sadhus rest.",take
1850,292,My Yatra to Banihal,[],In return Yatris and Sadhus would promise We to pray at Banihal Tunnel for the peace and prosperity of Kashmir.,take
1851,292,My Yatra to Banihal,[],This bonding would get rekindle every year and continued until this new era began.,take
1852,292,My Yatra to Banihal,[],"Now, ""managed yatra"" seems to have reduced us to dead souls.",take
1853,292,My Yatra to Banihal,[],"us and Yatris have become pawns for politicians.And, only those seem to have chance to survive in this precarious situation who have guts to raise emotions of hate, anger and animosity among humans and religions.",take
1854,292,My Yatra to Banihal,[],"Our religion teaches us love for every human being irrespective of religion, status or region.",take
1855,292,My Yatra to Banihal,[],We cannot change our DNA because of somebody's divisive politics.,take
1856,292,My Yatra to Banihal,[],We would always open our hearts for Yatris.————-,take
1857,293,Man Dies After Falling Off Train In Jammu,"[('2019-07-25', 'Thursday')]","JAMMU —  A man died after allegedly falling off a train here on Thursday, officials said.The body of A man was recovered from a railway track here and sent to Government Medical College (GMC) hospital, officials said.The identity of A man is being ascertained, officials said.",off
1858,293,Man Dies After Falling Off Train In Jammu,[],(PTI),off
1859,294,"Modi 2.0 Govt Passes First RS Test, RTI Bill Passed","[('2019-07-25', 'Thursday')]","NEW DELHI — Parliament approved the amendment to the RTI Act, with Rajya Sabha on Thursday passing the amendment to the RTI Act after negating an Opposition sponsored motion to send the amendment to the RTI Act to a House committee for greater scrutiny.an Opposition sponsored motion to send it to a House committee for greater scrutiny was negated by 117 members voting against an Opposition sponsored motion to send it to a House committee for greater scrutiny and 75 members voting in favour.negated after high drama in Rajya Sabha over what opposition charged was ""intimidation"" by the treasury benches to get an Opposition sponsored motion to send it to a House committee for greater scrutinythe RTI Act a House committee .C M Ramesh, who recently quit TDP to join BJP, was seen getting vote slips signed by members and was confronted by an angry opposition parties led by Congress.Deputy Chairman Harivansh asked C M Ramesh, who recently quit TDP to join BJP to go back to C M Ramesh, who recently quit TDP to join BJP's seat as Congress members Viplov Thakur and others tried to snatch vote slips signed by members from hands of C M Ramesh, who recently quit TDP to join BJP.Rajya Sabha then plunged into a turmoil as Opposition members rushed into the Well shouting slogans against such strong arm tactics.Leader of the Opposition Ghulam Nabi Azad said Rajya Sabha has witnessed how ""303 seats are won"", an apparent reference to BJP winning absolute majority in the recent Lok Sabha elections.an Opposition sponsored motion to send it to a House committee for greater scrutiny a House committee was put to vote after a division was sought when the pandemonium  broke out.The ensuing vote on passing, was carried by voice vote.Replying to the debate on the amendment to the RTI Act, DoPT Minister Jitendra Singh said the amendment to the RTI Act was not brought without any motivation and was in good faith.This, DoPT Minister Jitendra Singh said, will lead to institutionalisation of chief information commission and strengthen the provision of the RTI Act.",snatch
1860,295,India demands action after Imran Khan's 'admission' on 30-40K militants in Pak,[],India demands action after Imran Khan's 'admission' on 30-40K militants in Pak.,take
1861,295,India demands action after Imran Khan's 'admission' on 30-40K militants in Pak,"[('2019-07-25', 'Jul 25'), ('2019-07-25', 'Thursday')]","New Delhi, Jul 25: India on Thursday termed as ""glaring admission"" Imran Khan's's comments that Pak had 30-40K militants in Pak, and asked Imran Khan's to take ""credible and irreversible"" action against the “terror networks”.",take
1862,296,"India says Imran’s comments on having 30-40K terrorists in Pak glaring admission, demands action","[('2019-07-25', 'Thursday')]","state times news New Delhi: India on Thursday termed as &#8220;glaring admission&#8221; Pakistan Prime Minister Imran Khan&#8217;s comments that 30,000 to 40,000 terrorists were operating in Pakistan Prime Minister Imran Khan&#8217;s's country, and asked Pakistan Prime Minister Imran Khan&#8217;s to take &#8220;credible and irreversible&#8221; action against the terror networks.",take
1863,296,"India says Imran’s comments on having 30-40K terrorists in Pak glaring admission, demands action",[],External Affairs Ministry Spokesperson Raveesh Kumar said it was not the first time that [&#8230;],take
1864,297,Amarnath yatra suspended for the day due to bad weather,"[('2019-07-26', 'Friday'), ('2019-07-26', 'Friday')]",Srinagar: Authorities on Friday suspended the Amarnath Yatra for Friday due to bad weather along the Kashmir highway.,move
1865,297,Amarnath yatra suspended for the day due to bad weather,"[('2019-07-26', 'Friday')]",Officials said no yatri vehicle will be allowed to move towards the valley Friday due to bad weather along the Kashmir highway.,move
1866,297,Amarnath yatra suspended for the day due to bad weather,[],The India Meteorological Department (IMD) has forecast moderate to heavy rain [&#8230;],move
1867,298,Pakistan did not learn its lesson despite Kargil defeat: Eastern Army Commander,"[('2019-07-26', 'Friday')]","Despite a “resounding defeat” in Kargil, Pakistan does not seem to have learnt Pakistan's lesson as Pakistan continues to indulge in ceasefire violations, Eastern Army Commander Lt General M M Naravane said on Friday.",defeat
1868,299,‘Kargil Vijay Diwas’: President's Drass Visit Cancelled Due To Bad Weather,"[('2019-07-26', 'Friday')]","SRINAGAR — Bad weather on Friday prevented President Ram Nath Kovind from visiting the Drass war memorial  in Ladakh region and President Ram Nath Kovind instead arrived in SRINAGAR to pay tributes to soldiers who laid down soldiers who laid down their lives in the 1999 Kargil war's lives in the 1999 Kargil war,  officials said here.",down
1869,299,‘Kargil Vijay Diwas’: President's Drass Visit Cancelled Due To Bad Weather,[],"""Due to bad weather, President Ram Nath Kovind is not going to Drass for wreath-laying at the Drass war memorial  in Ladakh region.",down
1870,299,‘Kargil Vijay Diwas’: President's Drass Visit Cancelled Due To Bad Weather,[],"Now President Ram Nath Kovind will lay a wreath at the war memorial at Badamibagh cantonment here,"" an Army official said.",down
1871,300,Pakistan did not learn its lesson despite Kargil defeat: Eastern Army Commander,"[('2019-07-26', 'Friday')]","Kolkata: Despite a &#8220;resounding defeat&#8221; in Kargil, Pakistan does not seem to have learnt Pakistan's lesson as Pakistan continues to indulge in ceasefire violations, Eastern Army Commander Lt General M M Naravane said on Friday.",defeat
1872,300,Pakistan did not learn its lesson despite Kargil defeat: Eastern Army Commander,[],"Asserting that Eastern Army is always ready to face any situation, the general officer commanding-in-chief (GOC-in-C), Eastern Command, said, &#8220;On [&#8230;]",defeat
1873,301,"Drug peddler arrested with contraband, 4 arrested for attacking police party",[],STATE TIMES NEWS SRINAGAR: Police arrested a drug peddler and recovered contraband substance from a drug peddler's possession.,attempt
1874,301,"Drug peddler arrested with contraband, 4 arrested for attacking police party",[],"Besides, four persons were also arrested when four persons attacked police party with stones and Lathis in an attempt to prevent the lawful search for contraband substance at a house of a drug peddler.",attempt
1875,301,"Drug peddler arrested with contraband, 4 arrested for attacking police party",[],Officers at a checkpoint established at [&#8230;],attempt
1876,302,Week-long Shrimad Bhagwat Katha concludes,"[('2019-07-25', 'Thursday')]",STATE TIMES NEWSJAMMU: A week-long Shrimad Bhagwat Katha organized by the Narayan Seva Sansthan in collaboration with Jammu Yatri Bhawan Trust concluded here on Thursday.,off
1877,302,Week-long Shrimad Bhagwat Katha concludes,[],"A large numbers of devotees from far off areas participated in A week-long Shrimad Bhagwat Katha organized by the Narayan Seva Sansthan in collaboration with Jammu Yatri Bhawan Trust and sought blessing of lord Krishna, Lord Shiva and Maa Bhagwati.",off
1878,302,Week-long Shrimad Bhagwat Katha concludes,[],A week-long Shrimad Bhagwat Katha organized by the Narayan Seva Sansthan in collaboration with Jammu Yatri Bhawan Trust was organized by the [&#8230;],off
1879,303,DSS seeks Governor’s intervention in solving public issues,"[('2019-07-25', 'Thursday')]",STATE TIMES NEWS JAMMU: The Dogra Sadar Sabha on Thursday discussed various issues and felt that after the dissolution of Legislative Assembly move of Darbar to summer capital the Jammu region has been abandoned to God&#8217;s mercy.,move
1880,303,DSS seeks Governor’s intervention in solving public issues,"[('2019-07-25', 'Thursday')]","In the meeting held here on Thursday, President DSS, Gulchain Singh Charak received a delegation from Ramban and [&#8230;]",move
1881,304,Yudhvir attends Rudra Yagya for world peace,"[('2019-07-24', 'Wednesday')]","STATE TIMES NEWS JAMMU: BJP General Secretary, Yudhvir Sethi on Wednesday said that the world needs peace and each and every individual must contribute for making the world a beautiful place and worth living for all including humans without any conflict.",conflict
1882,304,Yudhvir attends Rudra Yagya for world peace,[],"BJP General Secretary, Yudhvir Sethi was speaking during Rudra Yagya held for world peace organised by Aggarwal Sabha [&#8230;]",conflict
1883,305,"Director I&C, MD SIDCO visit Khonmoh Industrial Estate fire incident site",[],"Director I&C, MD SIDCO visit Khonmoh Industrial Estate fire incident site.",fire
1884,305,"Director I&C, MD SIDCO visit Khonmoh Industrial Estate fire incident site",[],"SRINAGAR, JULY 24: Director Industries and Commerce, Mahmood Ahmad Shah along with Managing Director SIDCO, Ravinder Kumar JULY 24 visited Khonmoh Industrial Estate and took stock of the situation at a manufacturing unit which was gutted in a fire incident.",fire
1885,306,Army conducts inter-school  kho-kho competition for girls,"[('2019-07-24', 'Wednesday')]","STATE TIMES NEWS POONCH: Government High School Harni defeated Government High School, Ari in the final and won the trophy of Inter-school girls Kho-Kho Competition organised by Army at Government High School Harni, here on Wednesday.",take
1886,306,Army conducts inter-school  kho-kho competition for girls,[],&#8220;The event was organised to encourage the girl students to be physically fit and also to take [&#8230;],take
1887,307,Photo Of Top Official’s Palanquin Ride Goes Viral,"[('2019-07-24', 'Wednesday')]",JAMMU — A photo of the District Development Commissioner of Ramban being carried in a palanquin with an attendant holding an umbrella over the District Development Commissioner of Ramban's head went  viral on social media Wednesday.,defend
1888,307,Photo Of Top Official’s Palanquin Ride Goes Viral,[],"Many netizens took postshots at the District Development Commissioner of Ramban for acting like a ""maharaja"" even as the District Development Commissioner of Ramban sought to defend the District Development Commissioner of Ramban by saying the District Development Commissioner of Ramban went in a palanquin just over a short distance as the District Development Commissioner of Ramban had travelled 10 kms on foot to reach a village in Ramban.",defend
1889,307,Photo Of Top Official’s Palanquin Ride Goes Viral,[],"A photo of the District Development Commissioner of Ramban being carried in a palanquin with an attendant holding an umbrella over his head his head caused  embarrassment to the state administration.Many netizens said A photo of the District Development Commissioner of Ramban being carried in a palanquin with an attendant holding an umbrella over his head was remniscient  of British rule when bureaucrats would ride elephants or were carried by poor people in palanquins during bureaucrats's official visits.the District Development Commissioner of Ramban sought to defend the District Development Commissioner of Ramban by saying that the District Development Commissioner of Ramban went in a palanquin just over a short distance as the District Development Commissioner of Ramban had travelled 10 kms on foot to reach a village in the district, according to a local news agency But netizens didn't buy saying, saying the act of a civil servant being carried by people in a palanquin with an attendant holding an umbrella wasindefensible.",defend
1890,308,NC seeks resumption of LoC trade,"[('2019-07-24', 'Wednesday')]","Jammu and Kashmir National Conference on Wednesday sought resumption of cross-LOC trade, saying the suspension of cross-LOC trade has severely hit the marginal traders associated with cross-LOC trade.",hit
1891,308,NC seeks resumption of LoC trade,[],"Addressing workers at Uri party’s north zone secretary, and constituency in-charge Sajjad Uri said that suspension of cross-LOC trade LOC in wake of the increased hostilities between India and Pakistan has added to the mounting problems of the people of Uri.",hit
