article_id,article_title,article_date,event,location_prediction,date_prediction
95,Shashi Tharoor-Vivek Agnihotri Fight Over 'The Kashmir Files' Ban In Singapore; Here's What Happened,2022-05-10T19:30:34+00:00,The debate began after the former union minister posted that the ‘Kashmir Files’ film had been banned in Singapore for being “provocative” and “one-sided.”,Singapore,
96,Pak&#039;s relationship with India &#039;particularly complicated&#039; by New Delhi&#039;s decisions on Kashmir: Bilawal,2022-05-20T04:30:32+00:00,"Foreign Minister Bilawal, who is on a maiden visit to the US, made the remarks while responding to questions during a press conference here on Thursday.",US,Thursday
97,The Kashmir Files Press Event Cancelled Over 'Islamophobia'; Vivek Agnihotri Blames Hate Campaign,2022-05-06T11:30:31+00:00,"The aim behind the campaign was to debunk myths, accusations and impact of The Kashmir Files.",,
98,Focus On Decentralized Water Management In Kashmir: ‘Waterman Of India’ Rajendra Singh,2022-05-23T12:29:15+00:00,"‘Waterman of India’ Dr Rajendra Singh who was on a few days of visit to remote area Uri in Kashmir spoke to Indiatimes in an exclusive chat about a few days of visit to remote area Uri in Kashmir, need to conserve water, climatic change and much more.",India,
99,Pakistani drone with payload shot down in Jammu and Kashmir&#039;s Kathua,2022-05-29T06:06:47+00:00,A search party of police picked up the movement of a drone from the border in Talli Hariya Chak area,,
100,School Teacher Shot Dead By Terrorists In Jammu And Kashmir's Kulgam: What We Know,2022-05-31T10:30:28+00:00,"In yet another targeted killing of minorities in the Kashmir, a Hindu school teacher was fired at by terrorists in the Kulgam district of the Kashmir.a Hindu school teacher, sustained injuries when terrorists fired at a Hindu school teacher in the Gopalpora area of the Kulgam district of the Kashmir region where a Hindu school teacher was posted as a teacher.",,
101,Two LeT Terrorists Involved In Killing Of Female Kashmir TV Artist Amreen Bhat Gunned Down,2022-05-27T07:35:30+00:00,Kashmiri TV actress Amreen Bhat was killed by the terrorists in Budgam's Chadoora on Wednesday.,Chadoora,Wednesday
102,Power Outage: People Demand Restoration Of This 100-Year-Old Power Project In Kashmir,2022-05-01T07:50:28+00:00,"With the entire India currently undergoing the worst electricity shortage including Kashmir, the demand for the restoration of a 100-year-old defunct power project in the valley has gone shriller.",India,100-year - old
103,Explainer: Why Kashmir Is Witnessing A Huge Influx Of Tourists This Summer,2022-05-31T12:15:27+00:00,"After three years of slump, Kashmir is witnessing the massive influx of tourists this summer bringing joy on the faces of stakeholders.",,this summer
104,"Chintan Shivir | Cong will launch ‘Bharat Jodo Yatra’ from Kanyakumari to Kashmir from Oct. 2, says Sonia",2022-05-15T12:11:04+00:00,Congress president Sonia Gandhi said Congress will launch a ‘Bharat Jodo Yatra’ from Kanyakumari to Kashmir on October 2,Kashmir,October 2
105,"Agriculture production dept restructured for welfare of farmers in J&amp;K, says official",2022-05-08T03:30:33+00:00,"The Jammu and Kashmir administration restructured the agriculture production department with the aim of doubling income of farmers, orchardists and people dependent on animal, sheep husbandry and fisheries for farmers, orchardists and people dependent on animal, sheep husbandry and fisheries for their livelihood's livelihood.",Jammu and Kashmir,
106,Death toll reaches nine in tunnel collapse at Jammu and Kashmir’s Ramban,2022-05-21T17:14:08+00:00,Three persons have been rescued from the accident so far,,
107,"Vijay Deverakonda, Samantha’s romantic comedy titled ‘Kushi’ ",2022-05-16T08:51:12+00:00,"The film directed by Shiva Nirvana, being filmed in Kashmir, will release in Telugu, Tamil, Malayalam and Kannada",,
108,"Meet Shah Huzaib, A Kashmiri Youth Who Made Headlines World Over For His Football Trick-Shots",2022-05-25T13:05:30+00:00,The beautiful valley of Kashmir frequently witnesses violence and it is well known that the inhabitants struggle for survival on daily basis.,,
108,"Meet Shah Huzaib, A Kashmiri Youth Who Made Headlines World Over For His Football Trick-Shots",2022-05-25T13:05:30+00:00,The media representation of Kashmiri youths is sometimes seemed unfair and is often depicted with a stereotypical narrative.,,
109,Amit Shah reviews Jammu and Kashmir situation at high-level meeting,2022-05-17T09:06:11+00:00,The high-level meeting also took stock of the preparedness for the upcoming Amarnath Yatra,,
110,The Good News from Kashmir Valley to premiere at Tongues on Fire film festival in U.K.,2022-05-13T18:41:43+00:00,"The movie, a collaboration between a Kashmiri Muslim and a Pandit, tells the tale of a warm and common past shared by the communities and also the communities's sufferings.",,
111,"'You're Failing Your Secular Credentials', Vivek Agnihotri On Wikipedia Calling Kashmir Files 'Fictional'",2022-05-04T12:10:29+00:00,"When Wikipedia referred to The Kashmir Files as a 'fictional’ story', Vivek Agnihotri lost Vivek Agnihotri's cool and called it out on Twitter.",,
112,Singapore to ban &#039;The Kashmir Files&#039;; says movie &quot;beyond&quot; classified guidelines,2022-05-09T12:05:32+00:00,"Under the film classification guidelines, “any material that is denigrating to racial or religious communities in Singapore” will be refused classification, the authorities added.",Singapore,
113,J&amp;K to have 90 constituencies as delimitation panel orders come into effect,2022-05-20T15:45:35+00:00,"According to the orders of the commission, set up under the Jammu and Kashmir Reorganisation Act of 2019, the Union territory will have 90 assembly constituencies.",,2019
114,Pakistan 'Example' Of How State Evades Accountability For Genocide: What India Said At UN,2022-06-03T09:35:28+00:00,India's strong response came after Pakistan once again raked up the issue of Kashmir at the UN Security Council.,,
115,Four Hizb militants killed in last 24 hours in south Kashmir: Police,2022-06-17T02:37:06+00:00,"One slain militant was involved in the killing of Rajni Balla, a teacher from Samba",Samba,
116,Security forces engage with militants in south Kashmir’s Anantnag and Kulgam ,2022-06-16T13:06:19+00:00,One unidentified militant killed in Kulgam’s Mishipora; IED weighing 15 kg recovered in Pulwama,Pulwama,
117,Congress leaders slam Modi government over targeted killings in Jammu and Kashmir,2022-06-02T17:16:20+00:00,Rahul Gandhi urges PM to take immediate steps to restore peace,,
118,Vivek Agnihotri Reacts After Naseeruddin Shah Called The Kashmir Files A 'Fictionalised' Story,2022-06-09T13:20:29+00:00,Here's how the director Vivek Agnihotri has responded.,,
119,Sustainable Development: Kashmir Gets Its First Eco Village That Is Reviving Old Culture,2022-06-12T09:35:29+00:00,"Unlike any palatial hotel stay, for any guests desiring calm and cosy stay in a natural setting, Kashmir’s Sagg’s mud made spacious cottages make you feel very different.",,
119,Sustainable Development: Kashmir Gets Its First Eco Village That Is Reviving Old Culture,2022-06-12T09:35:29+00:00,"Set up in the mountains of central Kashmir’s Ganderbal district and on the foothills of River Sindh, Kashmir’s Sagg’s is the valley’s first and only ecologically sustainable village.",Sagg,
120,Complaint Filed Against Sai Pallavi For Comparing Kashmir Genocide To Lynching Of Cow Smugglers,2022-06-16T19:40:29+00:00,"When asked about her political views, her stated that her grew up in a neutral family and was raised to be a 'good human being.'",,
121,Kashmir Sikh Body To Donate Rs 10 Lakh For Repair Of Gurdwara Damaged In Kabul Attack,2022-06-21T12:20:32+00:00,"A Sikh body in Jammu and Kashmir on Tuesday announced A Sikh body in Jammu and Kashmir will donate Rs 10 lakh for the repair of a gurdwara damaged in a terror attack in Kabul over the weekend, News 18 reported.",Kabul,the weekend
121,Kashmir Sikh Body To Donate Rs 10 Lakh For Repair Of Gurdwara Damaged In Kabul Attack,2022-06-21T12:20:32+00:00,"United Kashmiri Sikhs Progressive Forum (UKSPF) Chairman Baldev Singh Raina said, “A Sikh body in Jammu and Kashmir will give Rs 10 lakh for the repair of a gurdwara damaged in a terror attack in Kabul over the weekend a gurdwara damaged in a terror attack in Kabul over the weekend and A Sikh body in Jammu and Kashmir will raise more funds.",Kabul,
121,Kashmir Sikh Body To Donate Rs 10 Lakh For Repair Of Gurdwara Damaged In Kabul Attack,2022-06-21T12:20:32+00:00,In these difficult times A Sikh body in Jammu and Kashmir want to assure that every Sikh of India is with Afghan Sikhs and Sikh Community will rebuild the whole Afghanistan and always support the government”.,,
122,Terror suspect arrested in Bengaluru,2022-06-07T08:07:51+00:00,The suspect is wanted in connection with the targeted killing of Hindus in the Union Territory of Jammu and Kashmir.,the Union Territory of Jammu and Kashmir,
122,Terror suspect arrested in Bengaluru,2022-06-07T08:07:51+00:00,The suspect was living in Bengaluru with The suspect's family and working as a labourer.,Bengaluru,
122,Terror suspect arrested in Bengaluru,2022-06-07T08:07:51+00:00,The suspect had an Aadhaar card when The suspect was arrested,,
123,4 militants killed in twin operations in Kashmir,2022-06-19T13:31:12+00:00,Security forces have stepped up anti-militancy operations ahead of Amarnath yatra,,
124,Targeted killings are acts of desperation: J&amp;K Lieutenant Governor,2022-06-11T17:36:10+00:00,"Terrorism on its last leg in Kashmir Valley, says Manoj Sinha",,
125,"Shiv Sena, NCP slam Centre over Kashmir killings",2022-06-05T10:38:15+00:00," BJP leaders are busy promoting films instead of heeding to the plight of Kashmiri Pandits, says Sanjay Raut.",,
127,Brick Kiln Worker From Bihar Becomes Latest Victim Of Targeted Killings Of Hindus In Kashmir,2022-06-03T06:05:29+00:00,"The attack came hours after Vijay Kumar, a bank manager from Rajasthan, was shot dead in Kulgam.",Kulgam,
128,BJP incompetent to handle Kashmir: Kejriwal,2022-06-05T18:11:35+00:00,It should cancel bonds signed by Kashmiri Pandits under PM Relief Plan: Kejriwal,,
129,Kashmiri Pandits flee Kashmir Valley,2022-06-04T03:21:31+00:00,‘Back-to-back killings have shattered our faith in the security system’,,
130,How 'Land Of Saints’ Kashmir Is Reconnecting With The Centuries Old Values Of Sufism,2022-06-18T05:25:28+00:00,Kashmir has a deep-rooted connection with Sufism and Kashmir is called the ‘Land of Saints’.,,
130,How 'Land Of Saints’ Kashmir Is Reconnecting With The Centuries Old Values Of Sufism,2022-06-18T05:25:28+00:00,"To highlight and propagate the teachings of Sufis and Rishis in Kashmir, a three-day Sufi festival was organised in the valley which is being seen as the first of a three-day Sufi festival's kind, beginning from 10th June.",,
131,Hindu Bank Employee Shot Dead By Militants As Hundreds Of Terrified Families Flee Kashmir,2022-06-02T07:55:29+00:00,More than 100 Hindu families have fled Kashmir as panic spread after the killing of a Hindu school teacher in India's only Muslim-majority region.,India,
132,"‘Taken Out Of Context’, Sai Pallavi Clears The Air About Kashmir Genocide And Lynching Remarks",2022-06-19T07:45:28+00:00,She took to She's Instagram handle to issue a clarification,,
133,Kashmiri Pandits living on the edge,2022-06-11T02:21:12+00:00,A spate of targeted killings of Hindus in Kashmir threatens to reverse years of efforts to rehabilitate Kashmiri Pandits to the Valley.,,years
133,Kashmiri Pandits living on the edge,2022-06-11T02:21:12+00:00,"Peerzada Ashiq reports on the fear in the community, which is once again faced with the dilemma of whether to stay or leave in the face of violence",,
134,4 militants killed in 3 anti-militancy operations in Kashmir,2022-06-07T17:58:44+00:00,Sticky IEDs dropped by drones from across the border seized and defused,,
135,"Protests in several places over Prophet remarks; curfew, shutdown in parts of J&amp;K",2022-06-10T13:06:56+00:00,"Internet suspended in Bhaderwah, parts of Kashmir",Bhaderwah,
